Section	.text	.rodata	.data	.bss	.bssSize	.sdata	.sbss
LibSnd::VM_STAV	800D6B68	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_VOL	800D6C38	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VM_VSU	800D71D8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VS_MONO	800D7298	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VS_SRV	800D72B8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VS_VAB	800D72E8	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_M_F	800D7398	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_M_INT	800D7418	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VS_VH2	800D7718	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_M_M	800D77B8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VS_VH	800D7A88	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VS_VTBP	800D7EE8	N/A	800fc054	N/A	0	N/A	N/A
LibSpu::S_STSA	800D8078	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_WP	800D80D8	N/A	N/A	N/A	0	N/A	N/A
LibSnd::VS_VTC	800D8168	N/A	N/A	N/A	0	N/A	N/A
LibSpu::S_ITC	800D8198	N/A	N/A	N/A	0	N/A	N/A
LibEtc::VSYNC	800D8248	80038e1c	800fc064	N/A	0	N/A	N/A
LibEtc::INTR	800D8458	80038e2c	800fc084	N/A	0	N/A	N/A
LibEtc::INTR_VB	800D8B18	N/A	800fd184	N/A	0	N/A	N/A
LibEtc::INTR_DMA	800D8C38	80038e9c	800fd1b4	N/A	0	N/A	N/A
LibEtc::VMODE	800D8ED8	N/A	800fd1e4	N/A	0	N/A	N/A
LibCd::CDROM	800D8F08	N/A	800fd1f4	8010c490	0x48	N/A	N/A
LibCd::EVENT	800D8F38	80038ecc	800fd204	N/A	0	N/A	N/A
LibCd::SYS	800D9088	N/A	N/A	N/A	0	N/A	N/A
LibCd::ISO9660	800D9108	80038eec	800fd214	8010c4d8	0x2400	N/A	N/A
LibCd::CDRead2	800D9A78	N/A	N/A	N/A	0	N/A	N/A
LibCd::C_002	800D9B28	N/A	800fd224	N/A	0	N/A	N/A
LibCd::C_004	800D9B88	N/A	800fd234	N/A	0	N/A	N/A
LibCd::C_005	800D9C78	N/A	800fd244	N/A	0	N/A	N/A
LibCd::C_007	800D9D08	N/A	800fd254	N/A	0	N/A	N/A
LibCd::C_008	800D9DB8	N/A	800fd264	N/A	0	N/A	N/A
LibCd::C_009	800D9DF8	N/A	800fd274	N/A	0	N/A	N/A
LibCd::C_010	800D9EB8	N/A	800fd284	N/A	0	N/A	N/A
LibCd::C_011	800D9ED8	800390dc	800fd294	8010e8d8	0x28	N/A	N/A
LibCd::BIOS_1	800DA9C8	800390fc	800fd2e4	8010e900	0x38	N/A	N/A
LibCd::S_002	800DBF48	N/A	N/A	N/A	0	N/A	N/A
LibCd::S_009	800DC058	N/A	N/A	N/A	0	N/A	N/A
LibCd::S_012	800DC078	N/A	N/A	N/A	0	N/A	N/A
LibCd::S_013	800DC098	N/A	N/A	N/A	0	N/A	N/A
LibCd::S_015	800DC0B8	N/A	N/A	N/A	0	N/A	N/A
LibCd::S_016	800DC0D8	N/A	800fd5f4	N/A	0	N/A	N/A
LibCd::S_020	800DC498	N/A	N/A	N/A	0	N/A	N/A
LibCd::S_021	800DC4B8	N/A	N/A	N/A	0	N/A	N/A
LibCd::BIOS_2	800DC4D8	N/A	800fd674	N/A	0	N/A	N/A
LibCd::S_022	800DC5D8	N/A	N/A	N/A	0	N/A	N/A
LibCd::BIOS_3	800DC5F8	N/A	800fd694	N/A	0	N/A	N/A
LibCd::S_023	800DC6E8	N/A	N/A	N/A	0	N/A	N/A
LibCd::S_024	800DC718	N/A	N/A	N/A	0	N/A	N/A
LibCd::CDR_1	800DC738	8003935c	800fd6b4	N/A	0	N/A	N/A
LibCd::S_003	800DD0D8	N/A	N/A	N/A	0	N/A	N/A
LibCd::S_004	800DD0E8	N/A	N/A	N/A	0	N/A	N/A
LibCd::S_006	800DD0F8	N/A	N/A	N/A	0	N/A	N/A
LibCd::S_008	800DD108	N/A	N/A	N/A	0	N/A	N/A
LibCd::S_014	800DD128	N/A	N/A	N/A	0	N/A	N/A
LibCd::CDR_2	800DD148	N/A	N/A	N/A	0	N/A	N/A
LibGte::COR_02	800DD168	N/A	N/A	N/A	0	N/A	N/A
LibGte::COR_01	800DD238	N/A	800fd6f4	N/A	0	N/A	N/A
LibGte::COR_03	800DD358	N/A	N/A	N/A	0	N/A	N/A
LibGpu::SYS	800DD538	800393ac	800fd714	8010e938	0x1850	N/A	N/A
LibGpu::E03	800E0438	N/A	N/A	N/A	0	N/A	N/A
LibGpu::E04	800E04F8	N/A	N/A	N/A	0	N/A	N/A
LibGpu::P00	800E0538	N/A	N/A	N/A	0	N/A	N/A
LibGpu::P07	800E0578	N/A	N/A	N/A	0	N/A	N/A
LibGpu::P10	800E05B8	N/A	N/A	N/A	0	N/A	N/A
LibGpu::P14	800E05E8	N/A	N/A	N/A	0	N/A	N/A
LibGpu::P16	800E0608	N/A	N/A	N/A	0	N/A	N/A
LibGpu::P17	800E0628	N/A	N/A	N/A	0	N/A	N/A
LibGpu::P18	800E0648	N/A	N/A	N/A	0	N/A	N/A
LibGpu::P22	800E0668	N/A	N/A	N/A	0	N/A	N/A
LibGpu::P26	800E0688	N/A	N/A	N/A	0	N/A	N/A
LibPress::LibPress	800E06A8	800395cc	800fd8b4	N/A	0	N/A	N/A
LibPress::VLC_C	800E0D38	N/A	800fda04	N/A	0	N/A	N/A
LibPress::BUILD	800E10B8	N/A	800fda34	N/A	0	N/A	N/A
LibC::A56	800E11A8	N/A	N/A	N/A	0	N/A	N/A
LibC::A63	800E11C0	N/A	N/A	N/A	0	N/A	N/A
LibC::C19	800E11D8	N/A	N/A	N/A	0	N/A	N/A
